
NOTICE | wrapper  | 2014/11/15 10:45:58 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2014/11/15 10:45:58 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2014/11/15 10:45:58 | automatically after 15 minutes.
NOTICE | wrapper  | 2014/11/15 10:45:58 | 
NOTICE | wrapper  | 2014/11/15 10:45:58 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2014/11/15 10:45:58 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2014/11/15 10:45:58 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2014/11/15 10:45:58 | a one-month Free trial license:
NOTICE | wrapper  | 2014/11/15 10:45:58 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2014/11/15 10:45:58 | 
NOTICE | wrapper  | 2014/11/15 10:45:58 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2014/11/15 10:45:58 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2014/11/15 10:45:58 | web site:
NOTICE | wrapper  | 2014/11/15 10:45:58 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2014/11/15 10:45:58 | 
NOTICE | wrapper  | 2014/11/15 10:45:58 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2014/11/15 10:45:58 | should not be used as part of a production environment.
NOTICE | wrapper  | 2014/11/15 10:45:58 | --------------------------------------------------------------------
NOTICE | wrapper  | 2014/11/15 10:45:58 | 
STATUS | wrapper  | 2014/11/15 10:45:58 | 
STATUS | wrapper  | 2014/11/15 10:45:58 | Launching a JVM...
INFO   | jvm 1    | 2014/11/15 10:45:59 | WrapperManager: Initializing...
INFO   | jvm 1    | 2014/11/15 10:45:59 | DemoApp: Initializing...
INFO   | jvm 1    | 2014/11/15 10:45:59 | Demo: start()
INFO   | jvm 1    | 2014/11/15 10:45:59 | Demo: Showing dialog...
INFO   | jvm 1    | 2014/11/15 10:46:01 | java.io.IOException: Cannot run program "../bin/wrapper.exe": CreateProcess error=2, The system cannot find the file specified
